2025-07-11T19:17:16.985275+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-10 - 111 | src.articles.service
2025-07-11T19:41:10.579012+0300| DEBUG | Вставка данных в Redis - 184 | src.articles.service
2025-07-11T19:41:22.003823+0300| ERROR | Ошибка типа: DataError
Invalid input of type: 'datetime'. Convert to a bytes, string, int or float first. - 226 | src.articles.service
2025-07-11T19:43:01.552063+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-10 - 111 | src.articles.service
2025-07-11T19:43:01.684520+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x0000022F3FBB9D90> - 113 | src.articles.service
2025-07-11T19:43:09.663444+0300| DEBUG | Вставка данных в Redis - 184 | src.articles.service
2025-07-11T19:49:32.580453+0300| DEBUG | Данные успешно вставленны в Redis - 207 | src.articles.service
2025-07-11T19:49:46.178710+0300| DEBUG | Данные успешно вставленны в Redis - 207 | src.articles.service
2025-07-11T19:49:48.080275+0300| ERROR | Ошибка типа: DataError
Invalid input of type: 'NoneType'. Convert to a bytes, string, int or float first. - 226 | src.articles.service
2025-07-11T20:21:39.096911+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-10 - 111 | src.articles.service
2025-07-11T20:21:39.223134+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x0000012DED075F90> - 113 | src.articles.service
2025-07-11T20:21:45.065884+0300| DEBUG | Вставка данных в Redis - 184 | src.articles.service
2025-07-11T20:22:04.210080+0300| DEBUG | Данные успешно вставленны в Redis - 210 | src.articles.service
2025-07-11T20:22:31.129777+0300| DEBUG | Данные успешно вставленны в Redis - 210 | src.articles.service
2025-07-11T20:22:35.789057+0300| DEBUG | Данные успешно вставленны в Redis - 210 | src.articles.service
2025-07-11T20:22:39.313151+0300| DEBUG | Данные успешно вставленны в Redis - 210 | src.articles.service
2025-07-11T20:22:42.557795+0300| DEBUG | Данные успешно вставленны в Redis - 210 | src.articles.service
2025-07-11T20:22:45.051101+0300| DEBUG | Данные успешно вставленны в Redis - 210 | src.articles.service
2025-07-11T20:22:47.560088+0300| DEBUG | Данные успешно вставленны в Redis - 210 | src.articles.service
2025-07-11T20:22:49.927596+0300| DEBUG | Данные успешно вставленны в Redis - 210 | src.articles.service
2025-07-11T20:22:52.259296+0300| DEBUG | Данные успешно вставленны в Redis - 210 | src.articles.service
2025-07-11T20:22:54.809472+0300| DEBUG | Данные успешно вставленны в Redis - 210 | src.articles.service
2025-07-12T09:43:18.774633+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-11 - 112 | src.articles.service
2025-07-12T09:43:18.931163+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x000001BE6CA44ED0> - 114 | src.articles.service
2025-07-12T09:43:20.139433+0300| DEBUG | Данные от API полученны - 36 | src.articles.service
2025-07-12T09:43:20.140432+0300| DEBUG | Запрос успешен. Никаких проблем не возникло - 45 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.926533+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.931643+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.935774+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.935774+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.935774+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.935774+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.935774+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.935774+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.936282+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.936359+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.936359+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.936664+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.936664+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.936664+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.936906+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.936906+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.937039+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.937039+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.937039+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.937039+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.937039+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.937039+0300| DEBUG | Данные в бд успешно записаны - 88 | src.articles.service
2025-07-12T09:43:21.937039+0300| DEBUG | Список данных сформирован - 91 | src.articles.service
2025-07-12T09:43:21.982523+0300| DEBUG | Вставка данных в Redis - 185 | src.articles.service
2025-07-12T09:43:21.982523+0300| ERROR | Произошла ошибка связанная с: AttributeError - 213 | src.articles.service
2025-07-12T09:43:21.985587+0300| ERROR | Ошибка типа: TypeError
HTTPException.__init__() got an unexpected keyword argument 'type' - 230 | src.articles.service
2025-07-12T09:45:03.809834+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-11 - 112 | src.articles.service
2025-07-12T09:45:21.990200+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x0000021244F0B050> - 114 | src.articles.service
2025-07-12T09:46:53.553089+0300| DEBUG | Вставка данных в Redis - 185 | src.articles.service
2025-07-12T09:47:13.983634+0300| DEBUG | Данные успешно вставленны в Redis - 211 | src.articles.service
2025-07-12T09:47:13.993780+0300| DEBUG | Данные успешно вставленны в Redis - 211 | src.articles.service
2025-07-12T09:47:13.993780+0300| DEBUG | Данные успешно вставленны в Redis - 211 | src.articles.service
2025-07-12T09:47:13.993780+0300| DEBUG | Данные успешно вставленны в Redis - 211 | src.articles.service
2025-07-12T09:47:13.998819+0300| DEBUG | Данные успешно вставленны в Redis - 211 | src.articles.service
2025-07-12T09:47:13.998819+0300| DEBUG | Данные успешно вставленны в Redis - 211 | src.articles.service
2025-07-12T09:47:14.003917+0300| DEBUG | Данные успешно вставленны в Redis - 211 | src.articles.service
2025-07-12T09:47:14.003917+0300| DEBUG | Данные успешно вставленны в Redis - 211 | src.articles.service
2025-07-12T09:47:14.003917+0300| DEBUG | Данные успешно вставленны в Redis - 211 | src.articles.service
2025-07-12T09:47:14.010718+0300| DEBUG | Данные успешно вставленны в Redis - 211 | src.articles.service
2025-07-12T09:56:06.212844+0300| ERROR | Ошибка, связанная с 1 validation error for Article
title
  Field required [type=missing, input_value={'description': 'Wockhard...s US … [+1896 chars]'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing - 161 | src.articles.service
2025-07-12T09:56:06.212844+0300| ERROR | Ошибка, связанная с 6 validation errors for Article
id
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
category
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
title
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
description
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
views
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
published_at
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing - 161 | src.articles.service
2025-07-12T09:56:06.221413+0300| ERROR | Ошибка, связанная с 6 validation errors for Article
id
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
category
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
title
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
description
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
views
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
published_at
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing - 161 | src.articles.service
2025-07-12T09:56:06.221413+0300| ERROR | Ошибка, связанная с 6 validation errors for Article
id
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
category
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
title
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
description
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
views
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
published_at
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing - 161 | src.articles.service
2025-07-12T09:56:06.221413+0300| ERROR | Ошибка, связанная с 6 validation errors for Article
id
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
category
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
title
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
description
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
views
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
published_at
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing - 161 | src.articles.service
2025-07-12T09:56:06.221413+0300| ERROR | Ошибка, связанная с 6 validation errors for Article
id
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
category
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
title
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
description
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
views
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
published_at
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing - 161 | src.articles.service
2025-07-12T09:56:06.228212+0300| ERROR | Ошибка, связанная с 6 validation errors for Article
id
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
category
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
title
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
description
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
views
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
published_at
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing - 161 | src.articles.service
2025-07-12T09:56:06.230234+0300| ERROR | Ошибка, связанная с 6 validation errors for Article
id
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
category
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
title
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
description
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
views
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
published_at
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing - 161 | src.articles.service
2025-07-12T09:56:06.231235+0300| ERROR | Ошибка, связанная с 6 validation errors for Article
id
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
category
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
title
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
description
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
views
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
published_at
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing - 161 | src.articles.service
2025-07-12T09:56:06.231767+0300| ERROR | Ошибка, связанная с 6 validation errors for Article
id
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
category
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
title
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
description
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
views
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
published_at
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing - 161 | src.articles.service
2025-07-12T09:57:00.713548+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-11 - 112 | src.articles.service
2025-07-12T09:57:00.834865+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x00000276F5A88390> - 114 | src.articles.service
2025-07-12T09:57:06.534055+0300| DEBUG | Вставка данных в Redis - 185 | src.articles.service
2025-07-12T09:57:22.639966+0300| DEBUG | Данные успешно вставленны в Redis - 212 | src.articles.service
2025-07-12T09:57:22.640968+0300| DEBUG | Данные успешно вставленны в Redis - 212 | src.articles.service
2025-07-12T09:57:22.641984+0300| DEBUG | Данные успешно вставленны в Redis - 212 | src.articles.service
2025-07-12T09:57:22.641984+0300| DEBUG | Данные успешно вставленны в Redis - 212 | src.articles.service
2025-07-12T09:57:22.643509+0300| DEBUG | Данные успешно вставленны в Redis - 212 | src.articles.service
2025-07-12T09:57:22.643509+0300| DEBUG | Данные успешно вставленны в Redis - 212 | src.articles.service
2025-07-12T09:57:22.643509+0300| DEBUG | Данные успешно вставленны в Redis - 212 | src.articles.service
2025-07-12T09:57:22.644686+0300| DEBUG | Данные успешно вставленны в Redis - 212 | src.articles.service
2025-07-12T09:57:22.644686+0300| DEBUG | Данные успешно вставленны в Redis - 212 | src.articles.service
2025-07-12T09:57:22.644686+0300| DEBUG | Данные успешно вставленны в Redis - 212 | src.articles.service
